id	levelName
88	[level_n67_18_10,level_56_69_10,level_68_84_10]
89	[level_n49_6_10,level_58_84_10,level_79_11_10]
90	[level_n69_9_10,level_57_84_10,level_68_2_10]
91	[level_n20_9_10,level_67_13_10,level_710_80_10]
92	[level_n41_11_10,level_n125_18_10,level_710_78_10]
93	[level_n58_18_10,level_56_95_10,level_79_58_10]
94	[level_n64_4_10,level_67_44_10,level_77_54_10]
95	[level_n87_12_10,level_57_71_10,level_79_29_10]
96	[level_n36_17_10,level_n107_3_10,level_78_2_10]
97	[level_n45_14_10,level_66_53_10,level_78_14_10]
98	[level_n51_9_10,level_56_96_10,level_68_42_10]
99	[level_n33_12_10,level_67_91_10,level_710_82_10]
100	[level_n8_10_10,level_57_13_10,level_77_65_10]
101	[level_n88_10_10,level_67_7_10,level_69_74_10]
102	[level_n71_18_10,level_58_73_10,level_77_79_10]
103	[level_n62_7_10,level_67_16_10,level_69_52_10]
104	[level_n75_4_10,level_67_68_10,level_68_23_10]
105	[level_n35_1_10,level_56_52_10,level_78_85_10]
106	[level_n90_1_10,level_56_70_10,level_68_8_10]
107	[level_n22_15_10,level_57_98_10,level_69_46_10]
108	[level_n19_5_10,level_56_67_10,level_710_91_10]
109	[level_n11_9_10,level_56_14_10,level_78_20_10]
110	[level_n53_19_10,level_57_90_10,level_79_59_10]
111	[level_n80_1_10,level_67_48_10,level_77_2_10]
112	[level_n47_4_10,level_67_22_10,level_78_86_10]
113	[level_n76_7_10,level_57_32_10,level_79_71_10]
114	[level_n18_19_10,level_58_39_10,level_77_30_10]
115	[level_n31_20_10,level_57_97_10,level_68_12_10]
116	[level_n39_2_10,level_58_23_10,level_69_41_10]
117	[level_n17_5_10,level_66_54_10,level_710_61_10]
118	[level_n77_8_10,level_57_100_10,level_79_30_10]
119	[level_n40_11_10,level_57_17_10,level_68_80_10]
120	[level_n38_19_10,level_57_21_10,level_69_51_10]
121	[level_n13_17_10,level_67_77_10,level_78_18_10]
122	[level_n43_14_10,level_67_9_10,level_69_70_10]
123	[level_n68_19_10,level_66_75_10,level_68_36_10]
124	[level_n42_3_10,level_67_97_10,level_79_85_10]
125	[level_n26_12_10,level_58_45_10,level_77_45_10]
126	[level_n59_1_10,level_57_81_10,level_77_86_10]
127	[level_n54_17_10,level_67_87_10,level_68_70_10]
128	[level_n55_18_10,level_57_39_10,level_68_95_10]
129	[level_n63_19_10,level_57_83_10,level_77_37_10]
130	[level_n79_18_10,level_57_47_10,level_79_53_10]
131	[level_n15_12_10,level_56_31_10,level_78_88_10]
132	[level_n23_8_10,level_56_4_10,level_69_58_10]
133	[level_n30_16_10,level_57_5_10,level_79_37_10]
134	[level_n78_12_10,level_56_73_10,level_68_61_10]
135	[level_n48_3_10,level_58_96_10,level_78_11_10]
136	[level_n89_2_10,level_58_82_10,level_69_35_10]
137	[level_n70_19_10,level_67_95_10,level_68_62_10]
138	[level_n72_10_10,level_56_9_10,level_68_90_10]
139	[level_n49_8_10,level_66_62_10,level_78_70_10]
140	[level_n83_9_10,level_57_63_10,level_79_98_10]
141	[level_n20_19_10,level_67_61_10,level_78_79_10]
142	[level_n41_14_10,level_67_84_10,level_78_67_10]
143	[level_n58_11_10,level_n113_9_10,level_77_50_10]
144	[level_n84_2_10,level_66_82_10,level_77_94_10]
145	[level_n87_15_10,level_67_89_10,level_710_70_10]
146	[level_n32_18_10,level_66_30_10,level_77_21_10]
147	[level_n45_4_10,level_58_27_10,level_69_77_10]
148	[level_n51_12_10,level_n100_10_10,level_78_24_10]
149	[level_n33_16_10,level_57_22_10,level_710_48_10]
150	[level_n37_5_10,level_66_22_10,level_68_34_10]
151	[level_n1_11_10,level_56_76_10,level_78_23_10]
152	[level_n71_11_10,level_66_78_10,level_69_66_10]
153	[level_n65_10_10,level_57_64_10,level_79_36_10]
154	[level_n9_20_10,level_56_87_10,level_79_31_10]
155	[level_n74_8_10,level_66_12_10,level_710_18_10]
156	[level_n52_12_10,level_56_47_10,level_77_90_10]
157	[level_n22_4_10,level_57_8_10,level_77_59_10]
158	[level_n10_3_10,level_58_93_10,level_68_17_10]
159	[level_n11_11_10,level_58_80_10,level_69_2_10]
160	[level_n53_16_10,level_57_99_10,level_77_91_10]
161	[level_n80_16_10,level_56_15_10,level_710_6_10]
162	[level_n47_19_10,level_67_27_10,level_79_97_10]
163	[level_n76_16_10,level_n144_3_10,level_77_96_10]
164	[level_n18_3_10,level_67_76_10,level_79_96_10]
165	[level_n31_1_10,level_66_90_10,level_710_96_10]
166	[level_n39_18_10,level_57_73_10,level_78_99_10]
167	[level_n36_20_10,level_67_59_10,level_68_60_10]
168	[level_n77_18_10,level_67_63_10,level_78_44_10]
169	[level_n40_14_10,level_56_58_10,level_79_16_10]
170	[level_n19_7_10,level_67_66_10,level_68_50_10]
171	[level_n86_17_10,level_66_23_10,level_78_37_10]
172	[level_n43_1_10,level_56_2_10,level_68_47_10]
173	[level_n68_2_10,level_58_67_10,level_79_67_10]
174	[level_n42_12_10,level_n128_7_10,level_68_54_10]
175	[level_n26_17_10,level_67_60_10,level_78_60_10]
176	[level_n59_9_10,level_67_31_10,level_78_34_10]
177	[level_n54_3_10,level_56_12_10,level_77_28_10]
178	[level_n25_13_10,level_57_10_10,level_78_12_10]
179	[level_n63_20_10,level_56_60_10,level_710_58_10]
180	[level_n79_3_10,level_66_84_10,level_77_63_10]
181	[level_n69_16_10,level_58_74_10,level_78_78_10]
182	[level_n23_6_10,level_n120_14_10,level_710_40_10]
183	[level_n82_8_10,level_57_15_10,level_68_40_10]
184	[level_n78_10_10,level_58_86_10,level_77_53_10]
185	[level_n8_12_10,level_66_88_10,level_78_36_10]
186	[level_n89_20_10,level_66_51_10,level_69_98_10]
187	[level_n70_1_10,level_57_75_10,level_77_66_10]
188	[level_n90_18_10,level_58_69_10,level_79_94_10]
189	[level_n49_1_10,level_66_83_10,level_68_18_10]
190	[level_n50_1_10,level_67_75_10,level_77_88_10]
191	[level_n20_4_10,level_67_58_10,level_77_15_10]
192	[level_n41_12_10,level_58_53_10,level_69_28_10]
193	[level_n58_7_10,level_58_56_10,level_69_87_10]
194	[level_n84_7_10,level_57_92_10,level_78_73_10]
195	[level_n87_17_10,level_n94_20_10,level_78_8_10]
196	[level_n3_4_10,level_67_56_10,level_79_40_10]
197	[level_n75_9_10,level_57_58_10,level_710_19_10]
198	[level_n38_18_10,level_58_72_10,level_78_80_10]
199	[level_n33_18_10,level_n93_13_10,level_79_28_10]
200	[level_n37_6_10,level_n137_12_10,level_79_42_10]
201	[level_n1_20_10,level_56_27_10,level_69_7_10]
202	[level_n13_16_10,level_66_52_10,level_79_14_10]
203	[level_n30_3_10,level_58_24_10,level_710_57_10]
204	[level_n9_16_10,level_67_71_10,level_79_78_10]
205	[level_n74_7_10,level_56_10_10,level_69_47_10]
206	[level_n51_10_10,level_n153_4_10,level_79_10_10]
207	[level_n22_2_10,level_58_13_10,level_78_32_10]
208	[level_n10_14_10,level_56_62_10,level_710_99_10]
209	[level_n11_20_10,level_66_58_10,level_78_57_10]
210	[level_n5_16_10,level_56_37_10,level_78_51_10]
211	[level_n16_10_10,level_66_40_10,level_710_51_10]
212	[level_n12_4_10,level_n113_5_10,level_710_52_10]
213	[level_n76_13_10,level_56_68_10,level_68_4_10]
214	[level_n18_10_10,level_66_13_10,level_78_90_10]
215	[level_n31_15_10,level_66_89_10,level_69_5_10]
216	[level_n39_13_10,level_58_81_10,level_78_15_10]
217	[level_n56_10_10,level_57_50_10,level_79_2_10]
218	[level_n66_15_10,level_58_100_10,level_68_81_10]
219	[level_n40_16_10,level_n91_9_10,level_77_16_10]
220	[level_n19_4_10,level_56_1_10,level_69_85_10]
221	[level_n86_12_10,level_56_51_10,level_78_50_10]
222	[level_n43_7_10,level_58_61_10,level_79_87_10]
223	[level_n68_8_10,level_56_49_10,level_69_49_10]
224	[level_n42_13_10,level_58_71_10,level_710_38_10]
225	[level_n26_5_10,level_56_36_10,level_78_91_10]
226	[level_n59_2_10,level_66_76_10,level_77_58_10]
227	[level_n54_5_10,level_67_55_10,level_77_19_10]
228	[level_n80_17_10,level_58_7_10,level_77_95_10]
229	[level_n63_3_10,level_66_43_10,level_68_48_10]
230	[level_n77_4_10,level_66_87_10,level_710_98_10]
231	[level_n69_6_10,level_56_98_10,level_69_33_10]
232	[level_n23_12_10,level_n150_1_10,level_69_54_10]
233	[level_n82_3_10,level_n100_16_10,level_68_65_10]
234	[level_n71_3_10,level_66_71_10,level_69_9_10]
235	[level_n57_4_10,level_56_19_10,level_78_93_10]
236	[level_n53_3_10,level_67_43_10,level_69_19_10]
237	[level_n70_13_10,level_56_44_10,level_78_25_10]
238	[level_n35_14_10,level_n125_2_10,level_77_57_10]
239	[level_n49_17_10,level_66_77_10,level_710_39_10]
240	[level_n55_13_10,level_56_53_10,level_710_14_10]
241	[level_n20_15_10,level_n97_3_10,level_710_72_10]
242	[level_n81_5_10,level_n95_10_10,level_710_87_10]
243	[level_n58_13_10,level_56_40_10,level_78_9_10]
244	[level_n84_12_10,level_58_47_10,level_710_42_10]
245	[level_n87_14_10,level_n94_10_10,level_77_1_10]
246	[level_n3_20_10,level_56_80_10,level_69_26_10]
247	[level_n75_11_10,level_58_28_10,level_78_31_10]
248	[level_n48_9_10,level_67_35_10,level_710_53_10]
249	[level_n33_3_10,level_58_1_10,level_78_58_10]
250	[level_n37_12_10,level_56_5_10,level_77_20_10]
251	[level_n28_5_10,level_56_79_10,level_78_61_10]
252	[level_n25_18_10,level_58_9_10,level_69_36_10]
253	[level_n85_17_10,level_57_49_10,level_710_35_10]
254	[level_n89_4_10,level_56_86_10,level_77_61_10]
255	[level_n74_3_10,level_56_24_10,level_710_9_10]
256	[level_n51_16_10,level_67_42_10,level_77_67_10]
257	[level_n22_16_10,level_57_56_10,level_79_61_10]
258	[level_n9_12_10,level_58_5_10,level_79_54_10]
259	[level_n11_8_10,level_57_46_10,level_68_10_10]
260	[level_n7_14_10,level_n124_19_10,level_68_46_10]
261	[level_n47_7_10,level_57_3_10,level_78_29_10]
262	[level_n12_14_10,level_67_8_10,level_710_49_10]
263	[level_n76_8_10,level_n93_10_10,level_68_93_10]
264	[level_n18_11_10,level_58_16_10,level_69_17_10]
265	[level_n31_12_10,level_56_97_10,level_78_45_10]
266	[level_n39_1_10,level_56_26_10,level_69_60_10]
267	[level_n44_14_10,level_56_99_10,level_68_52_10]
268	[level_n66_18_10,level_66_99_10,level_710_100_10]
269	[level_n40_1_10,level_57_54_10,level_710_46_10]
270	[level_n36_3_10,level_66_57_10,level_79_63_10]
271	[level_n86_6_10,level_58_29_10,level_78_100_10]
272	[level_n43_19_10,level_n145_20_10,level_77_5_10]
273	[level_n68_6_10,level_56_8_10,level_79_1_10]
274	[level_n42_9_10,level_57_41_10,level_69_72_10]
275	[level_n26_11_10,level_57_77_10,level_710_23_10]
276	[level_n59_20_10,level_57_35_10,level_69_90_10]
277	[level_n54_16_10,level_67_99_10,level_79_86_10]
278	[level_n67_11_10,level_66_63_10,level_79_46_10]
279	[level_n72_11_10,level_57_93_10,level_77_42_10]
280	[level_n77_2_10,level_56_35_10,level_79_72_10]
281	[level_n60_2_10,level_66_46_10,level_79_44_10]
282	[level_n23_2_10,level_56_88_10,level_68_78_10]
283	[level_n90_11_10,level_67_14_10,level_77_93_10]
284	[level_n71_4_10,level_56_28_10,level_79_64_10]
285	[level_n1_18_10,level_n114_1_10,level_68_7_10]
286	[level_n53_4_10,level_56_45_10,level_68_29_10]
287	[level_n62_18_10,level_57_40_10,level_78_84_10]
288	[level_n46_2_10,level_57_9_10,level_69_79_10]
289	[level_n49_5_10,level_66_18_10,level_69_81_10]
290	[level_n55_20_10,level_n100_6_10,level_69_99_10]
291	[level_n20_5_10,level_56_91_10,level_77_35_10]
292	[level_n38_20_10,level_n99_16_10,level_710_76_10]
293	[level_n58_19_10,level_57_51_10,level_77_83_10]
294	[level_n84_13_10,level_66_100_10,level_79_88_10]
295	[level_n87_20_10,level_57_53_10,level_69_12_10]
296	[level_n16_13_10,level_n142_2_10,level_69_20_10]
297	[level_n75_7_10,level_66_60_10,level_69_50_10]
298	[level_n41_2_10,level_58_4_10,level_77_22_10]
299	[level_n33_1_10,level_67_100_10,level_69_69_10]
300	[level_n37_18_10,level_58_94_10,level_710_97_10]
301	[level_n15_19_10,level_56_32_10,level_69_15_10]
302	[level_n25_4_10,level_67_10_10,level_710_67_10]
303	[level_n85_10_10,level_66_7_10,level_69_59_10]
304	[level_n83_15_10,level_58_97_10,level_68_79_10]
305	[level_n74_19_10,level_66_69_10,level_710_94_10]
306	[level_n29_6_10,level_56_6_10,level_79_80_10]
307	[level_n22_12_10,level_58_54_10,level_77_25_10]
308	[level_n9_10_10,level_n112_13_10,level_77_80_10]
309	[level_n11_17_10,level_66_41_10,level_77_27_10]
310	[level_n7_9_10,level_67_80_10,level_79_9_10]
311	[level_n47_6_10,level_58_41_10,level_69_78_10]
312	[level_n82_14_10,level_66_17_10,level_77_7_10]
313	[level_n76_6_10,level_57_62_10,level_69_3_10]
314	[level_n18_8_10,level_66_85_10,level_69_4_10]
315	[level_n31_6_10,level_56_34_10,level_69_56_10]
316	[level_n39_4_10,level_66_73_10,level_78_5_10]
317	[level_n44_3_10,level_67_4_10,level_69_67_10]
318	[level_n66_17_10,level_57_34_10,level_69_84_10]
319	[level_n40_17_10,level_67_90_10,level_77_32_10]
320	[level_n19_9_10,level_n125_7_10,level_68_5_10]
321	[level_n86_15_10,level_57_24_10,level_77_72_10]
322	[level_n43_12_10,level_67_57_10,level_68_73_10]
323	[level_n68_13_10,level_58_70_10,level_69_76_10]
324	[level_n42_8_10,level_67_67_10,level_79_81_10]
325	[level_n26_4_10,level_58_10_10,level_68_74_10]
326	[level_n36_6_10,level_58_49_10,level_79_84_10]
327	[level_n54_2_10,level_57_76_10,level_77_55_10]
328	[level_n17_19_10,level_67_86_10,level_710_11_10]
329	[level_n21_13_10,level_58_35_10,level_78_98_10]
330	[level_n77_14_10,level_58_57_10,level_77_18_10]
331	[level_n8_15_10,level_n97_11_10,level_68_26_10]
332	[level_n23_7_10,level_58_83_10,level_69_37_10]
333	[level_n65_7_10,level_58_38_10,level_79_51_10]
334	[level_n71_5_10,level_67_94_10,level_710_1_10]
335	[level_n57_13_10,level_n126_18_10,level_78_21_10]
336	[level_n53_9_10,level_58_59_10,level_77_75_10]
337	[level_n30_8_10,level_57_80_10,level_78_41_10]
338	[level_n12_15_10,level_67_39_10,level_69_97_10]
339	[level_n49_7_10,level_56_55_10,level_78_81_10]
340	[level_n55_10_10,level_66_1_10,level_78_77_10]
341	[level_n20_1_10,level_66_9_10,level_79_95_10]
342	[level_n72_15_10,level_56_71_10,level_69_16_10]
343	[level_n58_14_10,level_67_1_10,level_69_83_10]
344	[level_n14_17_10,level_58_40_10,level_77_56_10]
345	[level_n46_19_10,level_n99_10_10,level_77_3_10]
346	[level_n27_14_10,level_57_2_10,level_78_48_10]
347	[level_n87_18_10,level_57_27_10,level_68_82_10]
348	[level_n41_3_10,level_58_76_10,level_79_38_10]
349	[level_n33_15_10,level_66_96_10,level_710_56_10]
350	[level_n13_9_10,level_66_6_10,level_78_30_10]
351	[level_n50_13_10,level_57_12_10,level_710_69_10]
352	[level_n52_5_10,level_56_81_10,level_79_60_10]
353	[level_n78_2_10,level_56_39_10,level_77_8_10]
354	[level_n70_4_10,level_n145_7_10,level_79_100_10]
355	[level_n25_12_10,level_n129_18_10,level_68_33_10]
356	[level_n29_11_10,level_56_41_10,level_69_31_10]
357	[level_n22_10_10,level_57_23_10,level_69_68_10]
358	[level_n9_9_10,level_n112_2_10,level_710_54_10]
359	[level_n11_5_10,level_58_12_10,level_710_32_10]
360	[level_n89_5_10,level_67_92_10,level_79_57_10]
361	[level_n74_2_10,level_58_19_10,level_78_47_10]
362	[level_n16_6_10,level_57_48_10,level_77_24_10]
363	[level_n76_2_10,level_56_90_10,level_77_99_10]
364	[level_n18_18_10,level_58_58_10,level_79_50_10]
365	[level_n31_17_10,level_n139_4_10,level_710_3_10]
366	[level_n39_14_10,level_67_88_10,level_78_38_10]
367	[level_n69_2_10,level_67_12_10,level_69_10_10]
368	[level_n66_10_10,level_66_49_10,level_79_43_10]
369	[level_n40_20_10,level_58_3_10,level_79_3_10]
370	[level_n90_2_10,level_66_27_10,level_79_47_10]
371	[level_n56_12_10,level_58_37_10,level_69_92_10]
372	[level_n43_2_10,level_67_26_10,level_68_67_10]
373	[level_n68_16_10,level_66_68_10,level_68_45_10]
374	[level_n42_7_10,level_57_26_10,level_77_17_10]
375	[level_n26_9_10,level_67_3_10,level_79_99_10]
376	[level_n88_7_10,level_58_51_10,level_68_85_10]
377	[level_n75_10_10,level_n136_16_10,level_78_4_10]
378	[level_n3_12_10,level_66_24_10,level_77_81_10]
379	[level_n35_13_10,level_n124_15_10,level_78_27_10]
380	[level_n62_4_10,level_n128_15_10,level_79_18_10]
381	[level_n8_2_10,level_66_10_10,level_79_49_10]
382	[level_n23_5_10,level_66_26_10,level_68_51_10]
383	[level_n64_17_10,level_58_34_10,level_79_76_10]
384	[level_n71_12_10,level_66_92_10,level_79_69_10]
385	[level_n44_17_10,level_57_89_10,level_77_89_10]
386	[level_n53_2_10,level_66_47_10,level_68_16_10]
387	[level_n38_4_10,level_66_79_10,level_78_65_10]
388	[level_n77_11_10,level_56_63_10,level_69_82_10]
389	[level_n49_14_10,level_67_38_10,level_79_79_10]
390	[level_n55_5_10,level_58_64_10,level_69_88_10]
391	[level_n20_10_10,level_57_43_10,level_68_55_10]
392	[level_n57_18_10,level_58_90_10,level_78_68_10]
393	[level_n58_4_10,level_66_5_10,level_78_69_10]
394	[level_n72_6_10,level_67_65_10,level_710_4_10]
395	[level_n84_3_10,level_n151_6_10,level_68_75_10]
396	[level_n37_1_10,level_66_2_10,level_710_62_10]
397	[level_n87_2_10,level_66_93_10,level_78_40_10]
398	[level_n1_15_10,level_56_17_10,level_710_7_10]
399	[level_n32_7_10,level_57_30_10,level_68_77_10]
400	[level_n6_13_10,level_n113_20_10,level_77_48_10]
401	[level_n85_15_10,level_n101_11_10,level_69_96_10]
402	[level_n27_20_10,level_56_59_10,level_68_20_10]
403	[level_n13_3_10,level_56_20_10,level_79_52_10]
404	[level_n12_16_10,level_n132_5_10,level_68_38_10]
405	[level_n65_5_10,level_66_31_10,level_69_23_10]
406	[level_n29_10_10,level_57_31_10,level_710_64_10]
407	[level_n22_19_10,level_58_2_10,level_77_36_10]
408	[level_n86_3_10,level_58_18_10,level_69_6_10]
409	[level_n11_4_10,level_n129_16_10,level_79_6_10]
410	[level_n79_4_10,level_66_38_10,level_710_21_10]
411	[level_n74_10_10,level_57_70_10,level_710_95_10]
412	[level_n9_14_10,level_56_84_10,level_77_13_10]
413	[level_n50_5_10,level_58_66_10,level_77_9_10]
414	[level_n18_7_10,level_57_38_10,level_77_38_10]
415	[level_n31_9_10,level_56_21_10,level_78_33_10]
416	[level_n39_3_10,level_n100_7_10,level_710_63_10]
417	[level_n78_3_10,level_n138_5_10,level_69_100_10]
418	[level_n66_4_10,level_n123_14_10,level_79_45_10]
419	[level_n45_8_10,level_57_4_10,level_68_66_10]
420	[level_n33_10_10,level_67_5_10,level_78_43_10]
421	[level_n56_1_10,level_n140_4_10,level_710_34_10]
422	[level_n43_13_10,level_n92_6_10,level_77_73_10]
423	[level_n16_4_10,level_57_45_10,level_77_23_10]
424	[level_n42_20_10,level_67_53_10,level_710_24_10]
425	[level_n26_7_10,level_57_25_10,level_77_71_10]
426	[level_n68_9_10,level_57_59_10,level_710_30_10]
427	[level_n89_18_10,level_n134_3_10,level_69_48_10]
428	[level_n25_2_10,level_58_87_10,level_78_74_10]
429	[level_n35_5_10,level_67_74_10,level_68_14_10]
430	[level_n62_11_10,level_67_49_10,level_69_38_10]
431	[level_n8_17_10,level_n124_17_10,level_77_51_10]
432	[level_n23_4_10,level_57_16_10,level_78_94_10]
433	[level_n19_1_10,level_66_44_10,level_69_61_10]
434	[level_n71_16_10,level_57_33_10,level_69_39_10]
435	[level_n3_1_10,level_66_64_10,level_710_25_10]
436	[level_n53_18_10,level_n119_18_10,level_710_83_10]
437	[level_n82_6_10,level_57_28_10,level_710_44_10]
438	[level_n77_17_10,level_56_22_10,level_68_49_10]
439	[level_n49_13_10,level_n118_5_10,level_68_32_10]
440	[level_n55_15_10,level_57_94_10,level_77_49_10]
441	[level_n52_18_10,level_58_20_10,level_710_41_10]
442	[level_n40_15_10,level_58_6_10,level_77_43_10]
443	[level_n58_5_10,level_56_3_10,level_69_8_10]
444	[level_n67_3_10,level_56_33_10,level_78_64_10]
445	[level_n84_4_10,level_66_55_10,level_79_21_10]
446	[level_n54_8_10,level_n117_2_10,level_77_33_10]
447	[level_n87_6_10,level_56_82_10,level_77_39_10]
448	[level_n1_4_10,level_n102_3_10,level_68_35_10]
449	[level_n32_5_10,level_58_65_10,level_710_26_10]
450	[level_n80_7_10,level_57_11_10,level_78_66_10]
451	[level_n17_1_10,level_67_50_10,level_68_39_10]
452	[level_n70_15_10,level_67_2_10,level_77_68_10]
453	[level_n13_15_10,level_56_61_10,level_68_69_10]
454	[level_n76_17_10,level_66_45_10,level_78_55_10]
455	[level_n20_2_10,level_67_79_10,level_79_90_10]
456	[level_n29_17_10,level_66_67_10,level_79_89_10]
457	[level_n22_13_10,level_58_62_10,level_69_53_10]
458	[level_n30_15_10,level_58_32_10,level_710_10_10]
459	[level_n11_6_10,level_n142_14_10,level_69_45_10]
460	[level_n57_12_10,level_66_94_10,level_68_72_10]
461	[level_n74_16_10,level_58_42_10,level_78_59_10]
462	[level_n9_4_10,level_58_11_10,level_68_99_10]
463	[level_n50_8_10,level_57_86_10,level_78_35_10]
464	[level_n18_15_10,level_58_33_10,level_710_84_10]
465	[level_n31_14_10,level_66_61_10,level_79_56_10]
466	[level_n39_15_10,level_n100_5_10,level_69_63_10]
467	[level_n78_8_10,level_58_8_10,level_79_19_10]
468	[level_n66_2_10,level_57_78_10,level_68_43_10]
469	[level_n12_6_10,level_67_69_10,level_69_55_10]
470	[level_n33_7_10,level_n97_2_10,level_69_73_10]
471	[level_n56_9_10,level_56_72_10,level_69_89_10]
472	[level_n43_9_10,level_56_85_10,level_79_65_10]
473	[level_n16_7_10,level_56_38_10,level_79_8_10]
474	[level_n4_15_10,level_67_47_10,level_77_6_10]
475	[level_n26_18_10,level_67_45_10,level_79_74_10]
476	[level_n68_10_10,level_n140_16_10,level_78_63_10]
477	[level_n7_20_10,level_66_39_10,level_710_12_10]
478	[level_n2_5_10,level_56_66_10,level_710_5_10]
479	[level_n79_8_10,level_56_100_10,level_68_56_10]
480	[level_n35_17_10,level_56_7_10,level_68_21_10]
